Ïµf,a_fm,r_fm,aâ»Â¹,r,N
0.001,-7.314501635225911,-0.9217230178709167 + 0.1642701400197387im,-0.026977501713813683 + 0.0013787134169611342im,-4.671044050856599 + 0.8324768345755251im,0.007022456305110752 + 0.000590173749474146im
0.002,-7.314824940879652,-0.8757159091248655 + 0.20868895811871443im,-0.02697630934367518 + 0.0013785190137278014im,-4.437892412632619 + 1.057579443498718im,0.007022771423024491 + 0.0005901649083559407im
0.003,-7.314991322290469,-0.8603371958838828 + 0.22457606860282991im,-0.02697569576038991 + 0.0013785095442760188im,-4.359957235142908 + 1.1380910413142364im,0.007022930537369116 + 0.0005901839126143316im
0.005,-7.315172383185539,-0.8453289765937411 + 0.23784943885087745im,-0.02697502807364739 + 0.0013783770733359953im,-4.2838996212285885 + 1.2053569074473987im,0.0070231079555127095 + 0.000590172545518056im
0.007,-7.315273613714898,-0.8372688333953281 + 0.2431151230067792im,-0.02697465478667064 + 0.0013782910034509498im,-4.2430529859530965 + 1.2320419767938597im,0.007023207608866672 + 0.0005901631244688506im
0.01,-7.315441991996549,-0.8290089546845628 + 0.24996182784935098im,-0.026974033915638365 + 0.00137819045299334im,-4.201194144886245 + 1.266739233239445im,0.007023372646951155 + 0.0005901579490618792im
0.02,-7.315816006426162,-0.8128297886029462 + 0.25942911985521794im,-0.026972654892724112 + 0.001377707056970417im,-4.119202487948 + 1.3147169197508175im,0.007023748927636706 + 0.0005900764691748683im
0.05,-7.316697608593604,-0.7878426120883377 + 0.2719153822818893im,-0.026969404908607348 + 0.0013764605399237415im,-3.992574205976841 + 1.377993935399466im,0.007024644678308468 + 0.0005898492050538411im
0.1,-7.3180664671166795,-0.7611263132804242 + 0.28367619917671966im,-0.026964360229123047 + 0.0013743810980211201im,-3.857183197845277 + 1.4375945884424008im,0.007026051059556596 + 0.0005894412867081506im
0.2,-7.320728735614125,-0.7239422931426276 + 0.2992851023683783im,-0.02695455432463125 + 0.0013703588373294787im,-3.668744596786156 + 1.516696306616053im,0.007028810900050891 + 0.0005886105017134506im
0.5,-7.328385185597311,-0.6503261034236234 + 0.32666586831602984im,-0.02692639311424466 + 0.0013582453031273246im,-3.295677570828644 + 1.6554546552825569im,0.0070368811918749274 + 0.0005858332758120325im
1.0,-7.340371830513973,-0.5673543694969239 + 0.3513909688177341im,-0.026882422982948965 + 0.0013377806735251848im,-2.875199166109187 + 1.7807548065927536im,0.007049760345224376 + 0.0005805053121645809im
2.0,-7.361767016047776,-0.45227042589069194 + 0.37220141028082704im,-0.026804295758049754 + 0.0012949544315139494im,-2.291984729984202 + 1.8862165200437389im,0.0070731706614626695 + 0.0005676374598991298im
